Ref,Val,Package,PosX,PosY,Rot,Side
"J31","microSD","microSD_HC_Hirose_DM3D-SF",143.000000,-122.000000,0.000000,bottom
"C1","10u","C_0805_2012Metric",132.000000,-118.000000,0.000000,top
"C2","15p","C_0402_1005Metric",137.000000,-104.000000,0.000000,top
"C3","15p","C_0402_1005Metric",137.000000,-110.000000,0.000000,top
"C4","10u","C_0805_2012Metric",154.000000,-118.000000,0.000000,top
"C5","100n","C_0402_1005Metric",140.000000,-102.000000,0.000000,top
"C6","100n","C_0402_1005Metric",143.000000,-102.000000,0.000000,top
"C7","100n","C_0402_1005Metric",146.000000,-102.000000,0.000000,top
"C8","1u","C_0402_1005Metric",140.000000,-115.000000,0.000000,top
"C9","100n","C_0402_1005Metric",140.000000,-112.000000,0.000000,top
"C10","1u","C_0402_1005Metric",146.000000,-115.000000,0.000000,top
"C11","100n","C_0402_1005Metric",143.000000,-112.000000,0.000000,top
"C12","100n","C_0402_1005Metric",146.000000,-112.000000,0.000000,top
"C14","100n","C_0402_1005Metric",135.000000,-115.000000,0.000000,top
"C16","100n","C_0402_1005Metric",151.000000,-115.000000,0.000000,top
"C17","10u","C_0805_2012Metric",143.000000,-118.000000,0.000000,top
"C20","1u","C_0402_1005Metric",165.000000,-109.000000,0.000000,top
"C21","10u","C_0603_1608Metric",170.000000,-109.000000,0.000000,top
"C22","1u","C_0402_1005Metric",172.000000,-119.000000,0.000000,top
"C23","1u","C_0402_1005Metric",175.000000,-119.000000,0.000000,top
"C40","100n","C_0402_1005Metric",113.000000,-113.000000,0.000000,top
"C41","10u","C_0402_1005Metric",122.000000,-112.000000,0.000000,top
"C42","10u","C_0603_1608Metric",122.000000,-118.000000,0.000000,top
"C43","10u","C_0603_1608Metric",122.000000,-121.000000,0.000000,top
"C44","10u","C_0402_1005Metric",122.000000,-124.000000,0.000000,top
"C45","220u","CP_Elec_6.3x5.4",110.000000,-120.000000,0.000000,top
"C46","220u","CP_Elec_6.3x5.4",113.000000,-125.000000,0.000000,top
"C60","10n","C_0402_1005Metric",113.000000,-96.000000,0.000000,top
"C61","10n","C_0402_1005Metric",133.000000,-96.000000,0.000000,top
"C62","10n","C_0402_1005Metric",153.000000,-96.000000,0.000000,top
"C63","10n","C_0402_1005Metric",173.000000,-96.000000,0.000000,top
"C70","100n","C_0402_1005Metric",110.000000,-102.000000,0.000000,top
"C71","10u","C_0603_1608Metric",113.000000,-102.000000,0.000000,top
